user_id,session_id,session_start,session_size,click_article_id,click_timestamp,click_environment,click_deviceGroup,click_os,click_country,click_region,click_referrer_type
16,1506825660149753,1506825660000,7,237620,1506827187721,4,1,17,1,19,1
16,1506825660149753,1506825660000,7,162286,1506858007709,4,1,17,1,19,1
16,1506825660149753,1506825660000,7,157132,1506860972379,4,1,17,1,19,1
16,1506825660149753,1506825660000,7,207122,1506861047752,4,1,17,1,19,1
16,1506825660149753,1506825660000,7,206233,1506861117687,4,1,17,1,19,1
16,1506825660149753,1506825660000,7,256163,1506861183535,4,1,17,1,19,1
16,1506825660149753,1506825660000,7,338351,1506861213535,4,1,17,1,19,1
18,1506825700426755,1506825700000,6,286421,1506827170289,4,1,17,1,24,1
18,1506825700426755,1506825700000,6,286420,1506827538003,4,1,17,1,24,1
18,1506825700426755,1506825700000,6,286414,1506827555965,4,1,17,1,24,1
18,1506825700426755,1506825700000,6,286417,1506827556448,4,1,17,1,24,1
18,1506825700426755,1506825700000,6,286410,1506827592116,4,1,17,1,24,1
18,1506825700426755,1506825700000,6,168868,1506827622116,4,1,17,1,24,1
44,1506826139185781,1506826139000,5,108854,1506857136405,4,1,17,1,12,1
44,1506826139185781,1506826139000,5,72624,1506857162500,4,1,17,1,12,1
44,1506826139185781,1506826139000,5,114161,1506857168330,4,1,17,1,12,1
44,1506826139185781,1506826139000,5,157541,1506857278141,4,1,17,1,12,1
44,1506826139185781,1506826139000,5,119592,1506857308141,4,1,17,1,12,1
64,1506826382352801,1506826382000,16,119592,1506826989603,4,1,17,1,25,1
64,1506826382352801,1506826382000,16,236294,1506827034225,4,1,17,1,25,1
64,1506826382352801,1506826382000,16,235840,1506827106551,4,1,17,1,25,1
64,1506826382352801,1506826382000,16,235325,1506827361945,4,1,17,1,25,1
64,1506826382352801,1506826382000,16,293182,1506830113238,4,1,17,1,25,1
64,1506826382352801,1506826382000,16,292980,1506830231928,4,1,17,1,25,1
64,1506826382352801,1506826382000,16,293264,1506830318192,4,1,17,1,25,1
64,1506826382352801,1506826382000,16,168868,1506830772373,4,1,17,1,25,1
64,1506826382352801,1506826382000,16,293285,1506844012761,4,1,17,1,25,1
64,1506826382352801,1506826382000,16,157132,1506844136203,4,1,17,1,25,1
